name,slug,landing,id,lzId,lzEndpoint,create3Deployer,defiLlamaId,httpRpcs,wsRpcs,explorers,explorerApi
BNB Chain Testnet,bnb-chain-testnet,https://www.bnbchain.org,97,10102,0x6Fcb97553D41516Cb228ac03FdC8B9a0a9df04A1,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,,"[""https://bsc-testnet.public.blastapi.io"", ""https://endpoints.omniatech.io/v1/bsc/testnet/public"", ""https://data-seed-prebsc-1-s1.binance.org:8545"", ""https://data-seed-prebsc-1-s2.binance.org:8545"", ""https://data-seed-prebsc-2-s1.binance.org:8545"", ""https://data-seed-prebsc-2-s2.binance.org:8545""]","[""wss://bsc-testnet.public.blastapi.io""]","[""https://testnet.bscscan.com""]",https://api-testnet.bscscan.com/api
Moonbeam,moonbeam-mainnet,https://moonbeam.network,1284,126,0x9740FF91F1985D8d2B71494aE1A2f723bb3Ed9E4,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,Moonbeam,"[""https://moonbeam.public.blastapi.io"", ""https://rpc.api.moonbeam.network"", ""https://rpc.ankr.com/moonbeam"", ""https://moonbeam.api.onfinality.io/public""]","[""wss://wss.api.moonbeam.network"", ""wss://moonbeam.api.onfinality.io/public-ws""]","[""https://moonscan.io"", ""https://blockscout.moonbeam.network""]",https://api-moonbeam.moonscan.io/api
Moonriver,moonriver-mainnet,https://moonbeam.network,1285,167,0x7004396C99D5690da76A7C59057C5f3A53e01704,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,Moonriver,"[""https://moonriver.public.blastapi.io"", ""https://rpc.api.moonriver.moonbeam.network"", ""https://moonriver.api.onfinality.io/public""]","[""wss://wss.api.moonriver.moonbeam.network"", ""wss://moonriver.api.onfinality.io/public-ws""]","[""https://www.bscscan.com""]",https://api-moonriver.moonscan.io/api
Moonbase Testnet,moonbase-testnet,,1287,10126,0xb23b28012ee92E8dE39DEb57Af31722223034747,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,,"[""https://moonbase-alpha.public.blastapi.io"", ""https://rpc.api.moonbase.moonbeam.network"", ""https://moonbeam-alpha.api.onfinality.io/public""]","[""wss://moonbase-alpha.public.blastapi.io""]","[""https://moonbase.moonscan.io"", ""https://moonbase-blockscout.testnet.moonbeam.network""]",https://api-moonbase.moonscan.io/api
Gnosis Chain,gnosis-chain-mainnet,https://gnosischain.com,100,145,0x9740FF91F1985D8d2B71494aE1A2f723bb3Ed9E4,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,xDai,"[""https://gnosis-mainnet.public.blastapi.io"", ""https://rpc.gnosischain.com"", ""https://rpc.ankr.com/gnosis"", ""https://gnosis.blockpi.network/v1/rpc/public""]","[""wss://gnosis-mainnet.public.blastapi.io"", ""wss://rpc.gnosischain.com/wss""]","[""https://gnosisscan.io"", ""https://blockscout.com/xdai/mainnet""]",https://api.gnosisscan.io/api
Gnosis Testnet,gnosis-testnet,https://gnosischain.com,10200,10145,0xae92d5aD7583AD66E49A0c67BAd18F6ba52dDDc1,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,,"[""https://gnosis-chiado.public.blastapi.io"", ""https://rpc.chiadochain.net"", ""https://rpc.ankr.com/gnosis"", ""https://gnosis.blockpi.network/v1/rpc/public""]","[""wss://gnosis-chiado.public.blastapi.io"", ""wss://rpc.chiadochain.net/wss""]","[""https://blockscout.com/gnosis/chiado""]",https://eth-goerli.blockscout.com/api
Polygon Zkevm-Mainnet,polygon-zkevm-mainnet,,1101,158,0x9740FF91F1985D8d2B71494aE1A2f723bb3Ed9E4,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,Polygon zkEVM,"[""https://polygon-zkevm-mainnet.public.blastapi.io"", ""https://zkevm-rpc.com"", ""https://rpc.ankr.com/polygon_zkevm""]","[""wss://polygon-zkevm-mainnet.public.blastapi.io""]","[""https://zkevm.polygonscan.com""]",https://api-zkevm.polygonscan.com/api
Polygon Zkevm-Testnet,polygon-zkevm-testnet,,1442,10158,0x6aB5Ae6822647046626e83ee6dB8187151E1d5ab,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,,"[""https://polygon-zkevm-testnet.public.blastapi.io"", ""https://rpc.public.zkevm-test.net""]","[""wss://polygon-zkevm-testnet.public.blastapi.io""]","[""https://testnet-zkevm.polygonscan.com""]",https://api-testnet-zkevm.polygonscan.com/api
ZkSync Era,zksync-era-mainnet,https://zksync.io,324,165,0x9b896c0e23220469C7AE69cb4BbAE391eAa4C8da,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,zkSync Era,"[""https://mainnet.era.zksync.io""]",[],"[""https://explorer.zksync.io"", ""https://zkscan.io""]",
ZkSync Era Testnet,zksync-era-testnet,https://zksync.io,280,10165,0x093D2CF57f764f09C3c2Ac58a42A2601B8C79281,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,,"[""https://testnet.era.zksync.dev""]",[],"[""https://goerli.explorer.zksync.io""]",
Base,base-mainnet,https://base.org,8453,184,0xb6319cC6c8c27A8F5dAF0dD3DF91EA35C4720dd7,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,Base,"[""https://base-mainnet.public.blastapi.io"", ""https://mainnet.base.org"", ""https://base-goerli.blockpi.network/v1/rpc/public""]","[""wss://base-mainnet.public.blastapi.io""]","[""https://basescan.org"", ""https://base-goerli.blockscout.com""]",https://api.basescan.org/api
Base Testnet,base-testnet,https://base.org,84531,10160,0x6aB5Ae6822647046626e83ee6dB8187151E1d5ab,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,,"[""https://base-goerli.public.blastapi.io"", ""https://goerli.base.org"", ""https://rpc.ankr.com/base_goerli""]","[""wss://base-goerli.public.blastapi.io""]","[""https://goerli.basescan.org"", ""https://base-goerli.blockscout.com""]",https://api-goerli.basescan.org
Kava,kava-mainnet,https://www.kava.io,2222,177,0xb6319cC6c8c27A8F5dAF0dD3DF91EA35C4720dd7,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,Kava,"[""https://evm.kava.io"", ""https://evm2.kava.io""]","[""wss://wevm.kava.io"", ""wss://wevm2.kava.io""]","[""https://explorer.kava.io"", ""https://atomscan.com/kava"", ""https://www.mintscan.io/kava""]",https://kavascan.com/api
Kava Testnet,kava-testnet,https://www.kava.io,2221,10172,0x8b14D287B4150Ff22Ac73DF8BE720e933f659abc,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,,"[""https://evm.testnet.kava.io""]","[""wss://wevm.testnet.kava.io""]","[""https://explorer.testnet.kava.io""]",https://testnet.kavascan.com/api
Canto,canto-mainnet,https://canto.io,7700,159,0x9740FF91F1985D8d2B71494aE1A2f723bb3Ed9E4,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,Canto,"[""https://canto.gravitychain.io"", ""https://canto.neobase.one""]",[],"[""https://tuber.build"", ""https://cantoscan.com""]",https://tuber.build/api
Canto Testnet,canto-testnet,https://canto.io,7701,10159,0xae92d5aD7583AD66E49A0c67BAd18F6ba52dDDc1,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,,"[""https://canto-testnet.plexnode.wtf""]",[],"[""https://testnet.tuber.build""]",https://testnet.tuber.build/api
Scroll,scroll-mainnet,https://scroll.io,534352,0,,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,Scroll,"[""https://rpc.scroll.io"", ""https://rpc.ankr.com/scroll"", ""https://scroll.blockpi.network/v1/rpc/public""]",[],"[""https://scroll.l2scan.co/""]",
